InvoiceDate,Customer ID,Sales,Invoice,StockCode,Description,Country,Year,Month,MonthName,Weekday,Hour
2024-01-01 13:00:00,10001,454.62,INV0001,P004,Product D,India,2024,1,January,Monday,13
2024-01-01 16:00:00,10002,191.76,INV0002,P005,Product E,India,2024,1,January,Monday,16
2024-01-01 19:00:00,10003,399.75,INV0003,P002,Product B,France,2024,1,January,Monday,19
2024-01-01 22:00:00,10004,469.24,INV0004,P004,Product D,USA,2024,1,January,Monday,22
2024-01-02 01:00:00,10005,402.09,INV0005,P004,Product D,India,2024,1,January,Tuesday,1
2024-01-02 04:00:00,10006,345.39,INV0006,P003,Product C,India,2024,1,January,Tuesday,4
2024-01-02 07:00:00,10007,438.13,INV0007,P005,Product E,France,2024,1,January,Tuesday,7
2024-01-02 10:00:00,10008,368.99,INV0008,P003,Product C,France,2024,1,January,Tuesday,10
2024-01-02 13:00:00,10009,364.09,INV0009,P004,Product D,France,2024,1,January,Tuesday,13
2024-01-02 16:00:00,10010,336.4,INV0010,P001,Product A,Germany,2024,1,January,Tuesday,16
2024-01-02 19:00:00,10011,174.06,INV0011,P002,Product B,UK,2024,1,January,Tuesday,19
2024-01-02 22:00:00,10012,137.27,INV0012,P005,Product E,UK,2024,1,January,Tuesday,22
2024-01-03 01:00:00,10013,350.16,INV0013,P003,Product C,USA,2024,1,January,Wednesday,1
2024-01-03 04:00:00,10014,188.33,INV0014,P001,Product A,France,2024,1,January,Wednesday,4
2024-01-03 07:00:00,10015,440.36,INV0015,P004,Product D,Germany,2024,1,January,Wednesday,7
2024-01-03 10:00:00,10016,332.82,INV0016,P002,Product B,France,2024,1,January,Wednesday,10
2024-01-03 13:00:00,10017,54.05,INV0017,P003,Product C,Germany,2024,1,January,Wednesday,13
2024-01-03 16:00:00,10018,422.66,INV0018,P001,Product A,UK,2024,1,January,Wednesday,16
2024-01-03 19:00:00,10019,275.07,INV0019,P003,Product C,France,2024,1,January,Wednesday,19
2024-01-03 22:00:00,10000,167.88,INV0020,P004,Product D,France,2024,1,January,Wednesday,22
2024-01-04 01:00:00,10001,424.03,INV0021,P004,Product D,France,2024,1,January,Thursday,1
2024-01-04 04:00:00,10002,495.55,INV0022,P005,Product E,India,2024,1,January,Thursday,4
2024-01-04 07:00:00,10003,191.58,INV0023,P005,Product E,USA,2024,1,January,Thursday,7
2024-01-04 10:00:00,10004,230.15,INV0024,P004,Product D,France,2024,1,January,Thursday,10
2024-01-04 13:00:00,10005,486.93,INV0025,P005,Product E,Germany,2024,1,January,Thursday,13
2024-01-04 16:00:00,10006,404.8,INV0026,P002,Product B,India,2024,1,January,Thursday,16
2024-01-04 19:00:00,10007,68.92,INV0027,P004,Product D,India,2024,1,January,Thursday,19
2024-01-04 22:00:00,10008,102.11,INV0028,P001,Product A,UK,2024,1,January,Thursday,22
2024-01-05 01:00:00,10009,286.93,INV0029,P001,Product A,Germany,2024,1,January,Friday,1
2024-01-05 04:00:00,10010,460.48,INV0030,P002,Product B,India,2024,1,January,Friday,4
2024-01-05 07:00:00,10011,310.92,INV0031,P002,Product B,India,2024,1,January,Friday,7
2024-01-05 10:00:00,10012,384.87,INV0032,P002,Product B,France,2024,1,January,Friday,10
2024-01-05 13:00:00,10013,310.61,INV0033,P005,Product E,USA,2024,1,January,Friday,13
2024-01-05 16:00:00,10014,210.12,INV0034,P003,Product C,France,2024,1,January,Friday,16
2024-01-05 19:00:00,10015,100.68,INV0035,P005,Product E,Germany,2024,1,January,Friday,19
2024-01-05 22:00:00,10016,23.88,INV0036,P001,Product A,UK,2024,1,January,Friday,22
2024-01-06 01:00:00,10017,246.09,INV0037,P003,Product C,India,2024,1,January,Saturday,1
2024-01-06 04:00:00,10018,94.33,INV0038,P004,Product D,USA,2024,1,January,Saturday,4
2024-01-06 07:00:00,10019,70.39,INV0039,P001,Product A,India,2024,1,January,Saturday,7
2024-01-06 10:00:00,10000,491.46,INV0040,P001,Product A,UK,2024,1,January,Saturday,10
2024-01-06 13:00:00,10001,164.87,INV0041,P001,Product A,France,2024,1,January,Saturday,13
2024-01-06 16:00:00,10002,289.7,INV0042,P002,Product B,India,2024,1,January,Saturday,16
2024-01-06 19:00:00,10003,54.26,INV0043,P003,Product C,UK,2024,1,January,Saturday,19
2024-01-06 22:00:00,10004,261.59,INV0044,P002,Product B,UK,2024,1,January,Saturday,22
2024-01-07 01:00:00,10005,114.55,INV0045,P005,Product E,Germany,2024,1,January,Sunday,1
2024-01-07 04:00:00,10006,403.11,INV0046,P004,Product D,UK,2024,1,January,Sunday,4
2024-01-07 07:00:00,10007,237.7,INV0047,P005,Product E,France,2024,1,January,Sunday,7
2024-01-07 10:00:00,10008,208.77,INV0048,P002,Product B,India,2024,1,January,Sunday,10
2024-01-07 13:00:00,10009,148.0,INV0049,P004,Product D,France,2024,1,January,Sunday,13
2024-01-07 16:00:00,10010,331.78,INV0050,P004,Product D,France,2024,1,January,Sunday,16
2024-01-07 19:00:00,10011,139.66,INV0051,P003,Product C,UK,2024,1,January,Sunday,19
2024-01-07 22:00:00,10012,298.5,INV0052,P001,Product A,India,2024,1,January,Sunday,22
2024-01-08 01:00:00,10013,357.18,INV0053,P003,Product C,UK,2024,1,January,Monday,1
2024-01-08 04:00:00,10014,220.17,INV0054,P003,Product C,India,2024,1,January,Monday,4
2024-01-08 07:00:00,10015,440.08,INV0055,P003,Product C,UK,2024,1,January,Monday,7
2024-01-08 10:00:00,10016,266.5,INV0056,P003,Product C,France,2024,1,January,Monday,10
2024-01-08 13:00:00,10017,351.65,INV0057,P005,Product E,France,2024,1,January,Monday,13
2024-01-08 16:00:00,10018,455.75,INV0058,P004,Product D,France,2024,1,January,Monday,16
2024-01-08 19:00:00,10019,499.16,INV0059,P001,Product A,France,2024,1,January,Monday,19
2024-01-08 22:00:00,10000,479.77,INV0060,P002,Product B,Germany,2024,1,January,Monday,22
2024-01-09 01:00:00,10001,135.36,INV0061,P003,Product C,Germany,2024,1,January,Tuesday,1
2024-01-09 04:00:00,10002,275.81,INV0062,P004,Product D,USA,2024,1,January,Tuesday,4
2024-01-09 07:00:00,10003,33.26,INV0063,P002,Product B,USA,2024,1,January,Tuesday,7
2024-01-09 10:00:00,10004,278.04,INV0064,P002,Product B,Germany,2024,1,January,Tuesday,10
2024-01-09 13:00:00,10005,415.97,INV0065,P002,Product B,France,2024,1,January,Tuesday,13
2024-01-09 16:00:00,10006,341.33,INV0066,P003,Product C,India,2024,1,January,Tuesday,16
2024-01-09 19:00:00,10007,121.34,INV0067,P005,Product E,Germany,2024,1,January,Tuesday,19
2024-01-09 22:00:00,10008,54.57,INV0068,P004,Product D,Germany,2024,1,January,Tuesday,22
2024-01-10 01:00:00,10009,426.65,INV0069,P005,Product E,France,2024,1,January,Wednesday,1
2024-01-10 04:00:00,10010,24.28,INV0070,P002,Product B,India,2024,1,January,Wednesday,4
2024-01-10 07:00:00,10011,23.59,INV0071,P003,Product C,France,2024,1,January,Wednesday,7
2024-01-10 10:00:00,10012,498.43,INV0072,P002,Product B,India,2024,1,January,Wednesday,10
2024-01-10 13:00:00,10013,176.11,INV0073,P003,Product C,USA,2024,1,January,Wednesday,13
2024-01-10 16:00:00,10014,139.44,INV0074,P002,Product B,Germany,2024,1,January,Wednesday,16
2024-01-10 19:00:00,10015,393.59,INV0075,P005,Product E,USA,2024,1,January,Wednesday,19
2024-01-10 22:00:00,10016,403.77,INV0076,P003,Product C,India,2024,1,January,Wednesday,22
2024-01-11 01:00:00,10017,72.96,INV0077,P005,Product E,India,2024,1,January,Thursday,1
2024-01-11 04:00:00,10018,100.85,INV0078,P001,Product A,UK,2024,1,January,Thursday,4
2024-01-11 07:00:00,10019,254.93,INV0079,P004,Product D,USA,2024,1,January,Thursday,7
2024-01-11 10:00:00,10000,140.94,INV0080,P001,Product A,France,2024,1,January,Thursday,10
2024-01-11 13:00:00,10001,137.98,INV0081,P001,Product A,USA,2024,1,January,Thursday,13
2024-01-11 16:00:00,10002,53.26,INV0082,P002,Product B,Germany,2024,1,January,Thursday,16
2024-01-11 19:00:00,10003,476.4,INV0083,P005,Product E,Germany,2024,1,January,Thursday,19
2024-01-11 22:00:00,10004,144.99,INV0084,P005,Product E,Germany,2024,1,January,Thursday,22
2024-01-12 01:00:00,10005,242.34,INV0085,P003,Product C,Germany,2024,1,January,Friday,1
2024-01-12 04:00:00,10006,312.21,INV0086,P001,Product A,India,2024,1,January,Friday,4
2024-01-12 07:00:00,10007,223.16,INV0087,P002,Product B,France,2024,1,January,Friday,7
2024-01-12 10:00:00,10008,165.33,INV0088,P003,Product C,Germany,2024,1,January,Friday,10
2024-01-12 13:00:00,10009,393.22,INV0089,P005,Product E,USA,2024,1,January,Friday,13
2024-01-12 16:00:00,10010,142.59,INV0090,P001,Product A,Germany,2024,1,January,Friday,16
2024-01-12 19:00:00,10011,427.53,INV0091,P004,Product D,UK,2024,1,January,Friday,19
2024-01-12 22:00:00,10012,133.04,INV0092,P002,Product B,India,2024,1,January,Friday,22
2024-01-13 01:00:00,10013,360.2,INV0093,P005,Product E,India,2024,1,January,Saturday,1
2024-01-13 04:00:00,10014,403.43,INV0094,P001,Product A,France,2024,1,January,Saturday,4
2024-01-13 07:00:00,10015,310.01,INV0095,P001,Product A,Germany,2024,1,January,Saturday,7
2024-01-13 10:00:00,10016,416.65,INV0096,P004,Product D,Germany,2024,1,January,Saturday,10
2024-01-13 13:00:00,10017,357.74,INV0097,P003,Product C,USA,2024,1,January,Saturday,13
2024-01-13 16:00:00,10018,228.29,INV0098,P003,Product C,Germany,2024,1,January,Saturday,16
2024-01-13 19:00:00,10019,165.02,INV0099,P005,Product E,France,2024,1,January,Saturday,19
2024-01-13 22:00:00,10000,176.49,INV0100,P001,Product A,India,2024,1,January,Saturday,22
